PHONE,CITY,ZIP,URL,MAJOR,POI_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,STATE,GLOBALID
 ,Denver,0.0, , ,Colorado State Bank Building,,1600 Broadway,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,1999 Broadway,,1999 Broadway,,,{00000000-0000-0000-0000-000000000000}
 ,Denver,0.0, , ,Hyatt Regency,,1750 Welton St.,,,{00000000-0000-0000-0000-000000000000}
303-777-4441,Denver,80209.0,http://www.du.edu/phipps/, ,Phipps Mansion,,3400 Belcaro Dr.,,,{00000000-0000-0000-0000-000000000000}
303-571-4401,Denver,80204.0,http://www.museo.org/, ,Museo de las Americas,,861 Santa Fe Dr.,,,{00000000-0000-0000-0000-000000000000}
303-322-1053,Denver,0.0, , ,"Denver Museum of Miniatures, Dolls and Toys",,1880 Gaylord St.,,,{00000000-0000-0000-0000-000000000000}
303-322-7009,Denver,80205.0,http://www.dmns.org/, ,Denver Museum of Nature and Science,,2001 Colorado Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-260-6000,Denver,80202.0,http://www.denverpavilions.com, ,Denver Pavilions Shopping Center,,500 16th St.,,,{00000000-0000-0000-0000-000000000000}
303-296-0219,Denver,80216.0,http://www.suteatro.org/, ,El Centro Su Teatro,,4725 High St.,,,{00000000-0000-0000-0000-000000000000}
303-761-0117,Denver,80235.0, , ,Fort Logan National Cemetery,,3698 S. Sheridan Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-866-3682,Denver,0.0, , ,Governor's Mansion,,400 E. 8th Ave.,,,{00000000-0000-0000-0000-000000000000}
303-894-2505,Denver,80203.0, , ,Grant-Humphreys Mansion,,770 Pennsylvania St.,,,{00000000-0000-0000-0000-000000000000}
303-446-9207,Denver,80220.0, , ,Houston Fine Arts Center,,7111 Montview Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-322-7009,Denver,80205.0,http://www.dmnh.org/imax.htm, ,Imax Theatre and Gates Planetarium,,2001 Colorado Blvd.,,,{00000000-0000-0000-0000-000000000000}
303-744-6883,Denver,80203.0,http://www.landmarktheatres.com/Market/Denver/MayanTheatre.htm, ,Mayan Theater,,110 Broadway St.,,,{00000000-0000-0000-0000-000000000000}
303-556-2400,Denver,80204.0,http://www.mscd.edu/,YES,Metropolitan State College of Denver,,1380 Lawrence St.,,,{00000000-0000-0000-0000-000000000000}
303-458-4850,Denver,0.0, ,YES,Invesco Field at Mile High Stadium,,2755 W. 17th Ave.,,,{00000000-0000-0000-0000-000000000000}
303-399-2660,Denver,80246.0,http://www.mizelarts.org/, ,Mizel Arts Center,,350 S. Dahlia St.,,,{00000000-0000-0000-0000-000000000000}
